0.1085045,0.1279172,2.45234
0.088493,0.2106534,2.460357
-0.06449906,0.6199949,2.455027
-0.1637997,0.7999008,2.498819
-0.1522887,0.4900256,2.581095
-0.2584947,0.2945439,2.514661
-0.4468617,0.2120466,2.373211
-0.5281389,0.1826978,2.359665
0.05595482,0.4833777,2.411725
-0.1734299,0.4181795,2.314641
-0.391184,0.3376559,2.280854
-0.458049,0.3078754,2.274058
0.08330091,0.06109755,2.47626
-0.09081667,-0.312312,2.459297
-0.1978356,-0.6840829,2.500641
-0.2655411,-0.7530442,2.479915
0.1680494,0.09635054,2.426861
0.3600577,-0.3221535,2.31479
0.5045653,-0.6938072,2.441978
0.5313119,-0.7557142,2.402345
